# filename total_packets tcp_packets udp_packets total_bytes connections dns_queries dns_responses
faith-google-x100-tcp-seq1-1 2354 2352 2 585760 1 0 2
faith-google-x100-tcp-seq1-4 1914 1904 8 1260563 0 4 6
faith-google-x100-tcp-seq1-2 1871 1861 8 1233122 0 4 6
faith-google-x100-tcp-seq1-3 2451 2445 4 593706 1 0 6
faith-google-x100-tcp-seq1-5 1907 1897 8 1259468 0 4 6
faith-google-x100-tcp-seq1-6 2345 2335 8 587551 1 4 6
faith-google-x100-tcp-seq1-7 2341 2341 0 584289 0 0 0
faith-google-x100-tcp-seq1-9 2391 2381 8 589258 1 4 6
faith-google-x100-tcp-seq1-8 2337 2327 8 585329 1 4 6
faith-google-x100-tcp-seq10-2 2296 2296 0 588434 0 0 0
faith-google-x100-tcp-seq10-5 2300 2260 32 594739 4 16 24
faith-google-x100-tcp-seq10-0 1774 1734 32 1243072 0 16 24
faith-google-x100-tcp-seq10-1 2279 2279 0 586923 0 0 0
faith-google-x100-tcp-seq10-3 2227 2227 0 583309 0 0 0
faith-google-x100-tcp-seq10-6 1805 1781 16 1268092 0 0 24
faith-google-x100-tcp-seq10-4 2303 2268 28 593917 4 14 21
faith-google-x100-tcp-seq10-9 2242 2242 0 584880 0 0 0
faith-google-x100-tcp-seq10-7 2264 2224 32 594826 4 16 24
faith-google-x100-tcp-seq25-0 1861 1837 16 1310970 0 0 24
faith-google-x100-tcp-seq10-8 2376 2336 32 600949 4 16 24
faith-google-x100-tcp-seq25-2 1924 1884 32 1408455 0 16 24
faith-google-x100-tcp-seq25-1 2228 2218 6 585410 2 0 10
faith-google-x100-tcp-seq25-4 2321 2281 32 597646 4 16 24
faith-google-x100-tcp-seq25-5 1895 1855 32 1295671 0 16 24
faith-google-x100-tcp-seq25-8 1831 1792 32 1231823 0 16 23
faith-google-x100-tcp-seq25-7 1908 1884 16 1316272 0 0 24
faith-google-x100-tcp-seq25-6 1810 1770 32 1230995 0 16 24
faith-google-x100-tcp-seq25-3 1849 1809 32 1289865 0 16 24
faith-google-x100-tcp-seq25-9 1790 1790 0 1261553 0 0 0
faith-google-x100-tcp-seq50-1 1805 1805 0 1280685 0 0 0
faith-google-x100-tcp-seq50-2 2251 2211 32 591245 4 16 24
faith-google-x100-tcp-seq50-0 2293 2293 0 588952 0 0 0
faith-google-x100-tcp-seq50-3 2354 2314 32 599994 4 16 24
faith-google-x100-tcp-seq50-7 2300 2261 32 594144 4 16 23
faith-google-x1-quic-cubic-0 63 0 54 41493 3 4 6
faith-google-x100-tcp-seq50-4 2313 2273 32 596882 4 16 24
faith-google-x100-tcp-seq50-5 1785 1745 32 1208089 0 16 24
faith-google-x1-quic-cubic-1 57 0 54 27348 3 0 2
faith-google-x100-tcp-seq50-6 2336 2296 32 597696 4 16 24
faith-google-x1-quic-cubic-2 63 0 54 40341 3 3 6
faith-google-x100-tcp-seq50-9 2278 2278 0 586326 0 0 0
faith-google-x1-quic-cubic-4 49 0 46 25052 2 0 0
faith-google-x100-tcp-seq50-8 1818 1818 0 1207731 0 0 0
faith-google-x1-quic-cubic-3 52 0 51 25727 3 0 3
faith-google-x1-quic-cubic-6 60 0 51 38053 3 4 6
faith-google-x1-quic-cubic-9 47 0 47 23354 2 0 0
faith-google-x1-quic-cubic-5 65 0 56 42049 3 4 6
faith-google-x1-quic-cubic-8 63 0 58 28854 3 4 6
faith-google-x1-quic-cubic-7 63 0 58 28923 3 4 6
faith-google-x10-quic-cubic-4 235 0 228 158081 2 0 0
faith-google-x10-quic-cubic-2 212 0 210 76668 3 4 6
faith-google-x10-quic-cubic-0 222 0 219 76329 2 0 0
faith-google-x10-quic-cubic-1 229 0 225 78039 3 4 6
faith-google-x10-quic-cubic-3 227 0 225 76668 2 0 0
faith-google-x10-quic-cubic-5 220 0 216 78843 3 4 6
faith-google-x10-quic-cubic-6 233 0 228 78340 3 4 6
faith-google-x10-quic-cubic-8 229 0 224 78069 3 4 6
faith-google-x10-quic-cubic-7 241 0 233 158671 3 0 3
faith-google-x10-quic-cubic-9 242 0 235 174515 2 0 0
faith-google-x100-quic-cubic-seq1-2 1937 0 1935 587871 2 0 0
faith-google-x100-quic-cubic-seq1-4 1927 0 1923 591575 3 0 2
faith-google-x100-quic-cubic-seq1-1 1932 0 1924 1264597 3 4 6
faith-google-x100-quic-cubic-seq1-0 1907 0 1905 588179 3 0 0
faith-google-x100-quic-cubic-seq1-3 1920 0 1915 589229 3 4 6
faith-google-x100-quic-cubic-seq1-8 1952 0 1949 590734 3 0 2
faith-google-x100-quic-cubic-seq1-6 1860 0 1858 583264 2 0 0
faith-google-x100-quic-cubic-seq1-5 1903 0 1900 588377 3 0 2
faith-google-x100-quic-cubic-seq1-9 1965 0 1960 597567 3 4 6
faith-google-x100-quic-cubic-seq1-7 1870 0 1860 1257271 3 4 6
faith-google-x100-quic-cubic-seq10-2 1715 0 1706 1202089 3 4 6
faith-google-x100-quic-cubic-seq10-0 1764 0 1760 578389 3 0 3
faith-google-x100-quic-cubic-seq10-4 1794 0 1792 578739 2 0 0
faith-google-x100-quic-cubic-seq10-1 1901 0 1892 1345168 3 4 6
faith-google-x100-quic-cubic-seq10-3 1839 0 1829 1304031 3 4 6
faith-google-x100-quic-cubic-seq10-5 1782 0 1778 580507 3 4 5
faith-google-x100-quic-cubic-seq10-9 1827 0 1817 1325112 3 4 6
faith-google-x100-quic-cubic-seq10-6 1751 0 1742 1241846 3 4 6
faith-google-x100-quic-cubic-seq10-8 1788 0 1784 584200 3 4 6
faith-google-x100-quic-cubic-seq25-0 1795 0 1791 583353 3 4 6
faith-google-x100-quic-cubic-seq25-1 1795 0 1786 1247318 3 4 6
faith-google-x100-quic-cubic-seq10-7 1747 0 1739 1256505 2 0 0
faith-google-x100-quic-cubic-seq25-2 1702 0 1695 1174901 2 0 0
faith-google-x100-quic-cubic-seq25-3 1837 0 1833 583085 3 4 6
faith-google-x100-quic-cubic-seq25-7 1842 0 1838 586006 3 4 6
faith-google-x100-quic-cubic-seq50-0 1864 0 1860 586834 3 4 6
faith-google-x100-quic-cubic-seq25-5 1836 0 1831 584185 3 0 6
faith-google-x100-quic-cubic-seq25-4 1818 0 1814 586233 3 4 5
faith-google-x100-quic-cubic-seq25-8 1906 0 1897 1365269 3 4 6
faith-google-x100-quic-cubic-seq25-9 1774 0 1765 1243393 3 4 6
faith-google-x100-quic-cubic-seq25-6 1860 0 1856 586294 3 4 6
faith-google-x100-quic-cubic-seq50-1 1795 0 1792 577038 2 0 0
faith-google-x100-quic-cubic-seq50-2 1833 0 1829 584234 3 4 5
